time,lambda_main,queue_lambdas.react-frontend,queue_lambdas.postgres-database,queue_lambdas.api-backend,delays.react-frontend,delays.postgres-database,delays.api-backend
1,0.1,0.08000000000000002,0.020000000000000004,0.1,9.79827549331593,2.2617828885650857,3.9091186374317703
2,0.0788811988195308,0.06310495905562465,0.01577623976390616,0.0788811988195308,8.40662392273127,2.240380025964787,3.611008576996621
3,0.10074150137470617,0.08059320109976494,0.020148300274941234,0.10074150137470617,9.85555943248568,2.2625417971771453,3.920482614372617
4,0.11210800528300878,0.08968640422640703,0.022421601056601757,0.11210800528300878,10.825747839449049,2.2742392056103857,4.1033362258011525
5,0.12611539190567175,0.10089231352453741,0.025223078381134353,0.12611539190567175,12.320359594683598,2.288821814826208,4.35356622557442
6,0.11902211235529617,0.09521768988423694,0.023804422471059235,0.11902211235529617,11.515286705237896,2.2814139483085683,4.2231508414264125
7,0.11971052191335703,0.09576841753068563,0.023942104382671407,0.11971052191335703,11.58878027840233,2.2821307871174694,4.2354644267420065
8,0.11928533016661179,0.09542826413328943,0.02385706603332236,0.11928533016661179,11.543277107338344,2.2816879830447956,4.227850556131544
9,0.11524440238604976,0.09219552190883981,0.023048880477209953,0.11524440238604976,11.128019059428645,2.2774882326334085,4.156833390616015
10,0.09671939705659663,0.07737551764527731,0.019343879411319327,0.09671939705659663,9.552625886709176,2.2584313711700013,3.859621820133854
11,0.12426482115903881,0.09941185692723105,0.024852964231807762,0.12426482115903881,12.099664644013568,2.2868845369876625,4.318771686048369
12,0.13072112455489146,0.10457689964391317,0.026144224910978293,0.13072112455489146,12.9062440402849,2.2936576255687373,4.442647356425907
13,0.11312210264286637,0.0904976821142931,0.022624420528573275,0.11312210264286637,10.921669475004585,2.2752887052667887,4.12048230438243
14,0.11983670889834533,0.09586936711867627,0.02396734177966907,0.11983670889834533,11.602353670015171,2.2822622341036736,4.237729325617065
15,0.11697630358251809,0.09358104286601449,0.02339526071650362,0.11697630358251809,11.30227876454762,2.279286308994385,4.18697637444439
16,0.11617077140881188,0.09293661712704951,0.023234154281762377,0.11617077140881188,11.22055409059123,2.2784496447612805,4.1729022426909665
17,0.10145785994545936,0.08116628795636749,0.020291571989091872,0.10145785994545936,9.911540722135856,2.2632754565694464,3.931524187305573
18,0.1103622012236323,0.08828976097890584,0.02207244024472646,0.1103622012236323,10.664503662173976,2.272434721537511,4.074150555164091
19,0.12379027212001648,0.09903221769601318,0.024758054424003296,0.12379027212001648,12.044338884419247,2.286388281505517,4.309938600695308
20,0.1492622443906751,0.11940979551254008,0.02985244887813502,0.1492622443906751,15.96195178823654,2.3133334429969117,4.8414452217287955
21,0.14051685239258116,0.11241348191406493,0.028103370478516233,0.14051685239258116,14.358472006364359,2.304010950304147,4.644783525223994
22,0.13923346912744833,0.11138677530195867,0.02784669382548967,0.13923346912744833,14.149875418138675,2.302649196222769,4.617259866261279
23,0.132574511053871,0.1060596088430968,0.0265149022107742,0.132574511053871,13.158038995123292,2.2956093682989365,4.479531562319892
24,0.12829769953400624,0.102638159627205,0.02565953990680125,0.12829769953400624,12.591189171034001,2.2911105945852706,4.395325424724417
25,0.14091634181684495,0.11273307345347597,0.028183268363368992,0.14091634181684495,14.42466457317486,2.304435163637609,4.653418137539301
26,0.13828927737224858,0.11063142189779887,0.027657855474449718,0.13828927737224858,14.000238675223128,2.30164837396518,4.5972179328940115
27,0.12971778100702466,0.10377422480561974,0.025943556201404934,0.12971778100702466,12.773912472424836,2.2926024201915154,4.422932129556346
28,0.12281652071189175,0.09825321656951341,0.024563304142378353,0.12281652071189175,11.932382664979695,2.2853706636278117,4.291926207100408
29,0.12711441313372934,0.10169153050698349,0.02542288262674587,0.12711441313372934,12.44288016390938,2.289869009285773,4.372583927048393
30,0.12346185851341915,0.09876948681073533,0.024692371702683832,0.12346185851341915,12.00634576593947,2.28604497194872,4.3038467531731674
31,0.12752802820912418,0.10202242256729935,0.025505605641824837,0.12752802820912418,12.494322416046648,2.2903028496020763,4.38050636468494
32,0.12660592654803585,0.10128474123842868,0.02532118530960717,0.12660592654803585,12.380216089252583,2.2893358835461277,4.3628834907096525
33,0.1328419032100943,0.10627352256807543,0.026568380642018857,0.1328419032100943,13.195179270066573,2.2958912247345906,4.484903542124344
34,0.118904312197881,0.0951234497583048,0.0237808624395762,0.118904312197881,11.502803838709996,2.281291328478883,4.221050919947433
35,0.13783913133541853,0.11027130506833482,0.027567826267083706,0.13783913133541853,13.930007456251767,2.30117153537369,4.587724007679571
36,0.1604453547067988,0.12835628376543903,0.03208907094135976,0.1604453547067988,18.62110985045675,2.3253650038835314,5.11857736687513
37,0.15577867611987403,0.12462294089589923,0.031155735223974808,0.15577867611987403,17.410733296839666,2.3203290864353634,4.999163569517891
38,0.14899081476704285,0.11919265181363428,0.02979816295340857,0.14899081476704285,15.906818163902903,2.313042967718323,4.8350913718071595
39,0.15360702717671823,0.12288562174137459,0.030721405435343647,0.15360702717671823,16.89955553344372,2.3179930407682114,4.945473392311709
40,0.13516032307643505,0.10812825846114804,0.02703206461528701,0.13516032307643505,13.526214051770134,2.2983379617019972,4.532027058557368
41,0.12234372358857079,0.09787497887085664,0.02446874471771416,0.12234372358857079,11.878770483857288,2.2848768941107083,4.283234623010996
42,0.1381309950353047,0.11050479602824377,0.027626199007060943,0.1381309950353047,13.975463080540166,2.3014806833491566,4.593875161054355
43,0.12809623784855545,0.10247699027884437,0.025619247569711092,0.12809623784855545,12.565689444618295,2.290899112065571,4.391436852762876
44,0.11770267168112601,0.09416213734490081,0.023540534336225202,0.11770267168112601,11.376999390023945,2.2800412766551945,4.199749012605615
45,0.11761093775000772,0.09408875020000618,0.023522187550001544,0.11761093775000772,11.367508367385838,2.279945903258003,4.198131642564168
46,0.11276943874447513,0.09021555099558011,0.022553887748895027,0.11276943874447513,10.888119446247233,2.2749236199803726,4.11450333298537
47,0.12280278535166358,0.09824222828133088,0.02456055707033272,0.12280278535166358,11.930818338321107,2.2853563159829133,4.291673208018525
48,0.13051255230291237,0.1044100418423299,0.026102510460582474,0.13051255230291237,12.878510072162186,2.29343819245907,4.4385345527686875
49,0.1379481952530111,0.11035855620240889,0.027589639050602223,0.1379481952530111,13.946958714674011,2.3012870483770693,4.590020648163766
50,0.1428639880332645,0.11429119042661161,0.028572797606652902,0.1428639880332645,14.756317451764357,2.306505586580754,4.695978789935352
51,0.14512008777362131,0.11609607021889706,0.029024017554724266,0.14512008777362131,15.160081654835489,2.308908563151934,4.7462635371300985
52,0.13766329878991782,0.11013063903193426,0.027532659757983566,0.13766329878991782,13.902765280533783,2.3009853300462724,4.584026205803655
