time,lambda_main,queue_lambdas.Flight Tracker Website,queue_lambdas.Flight Data Provider,queue_lambdas.User Interface,delays.Flight Tracker Website,delays.Flight Data Provider,delays.User Interface
1,0.1,0.149,0.06999999999999999,0.03,30.249154161169784,2.5501806346783646,3.069253353366598
2,0.0788811988195308,0.1175329862411009,0.05521683917367156,0.02366435964585924,15.497679450052708,2.457532328307771,3.0107080713714254
3,0.10074150137470617,0.15010483704831218,0.07051905096229431,0.03022245041241185,31.295046708223246,2.5535607158711184,3.071350338309047
4,0.11210800528300878,0.16704092787168306,0.07847560369810615,0.03363240158490263,66.58743762745867,2.6065187664727456,3.1038575182245873
5,0.12611539190567175,0.1879119339394509,0.08828077433397022,0.03783461757170153,-170.8479328265861,2.6748816840282275,3.144876391595967
6,0.11902211235529617,0.18319610573244233,0.08331547864870731,0.03570663370658885,-879.25219414717,2.6398206982400874,3.123970015074037
7,0.11971052191335703,0.17950600776694445,0.08379736533934992,0.03591315657400711,391.7316649899577,2.6431830767892723,3.1259868118780663
8,0.11928533016661179,0.17773514194825155,0.08349973111662824,0.03578559904998353,231.28693981797772,2.641105314641212,3.124740842909385
9,0.11524440238604976,0.17171415955521413,0.08067108167023483,0.034573320715814926,96.66864329089249,2.621520560848743,3.11294881962675
10,0.09671939705659663,0.14411190161432896,0.06770357793961763,0.029015819116978987,26.35263183853897,2.5353329867550567,3.060009979765588
11,0.12426482115903881,0.18515458352696781,0.08698537481132716,0.03727944634771164,-323.01745744184075,2.6656451158587937,3.1393951806677363
12,0.13072112455489146,0.19787028349735625,0.09150478718842402,0.03921633736646744,-63.245074886527064,2.698150133976005,3.1586015829623846
13,0.11312210264286637,0.1843634408188273,0.07918547185000646,0.03393663079285991,-433.9025030389336,2.6113505082591453,3.1067912118126024
14,0.11983670889834533,0.180861361460962,0.08388569622884172,0.035951012669503596,835.1329366357162,2.643800337312306,3.12635677760867
15,0.11697630358251809,0.17429469233795195,0.08188341250776265,0.035092891074755425,128.79820632216436,2.6298787104433643,3.1179918469671963
16,0.11617077140881188,0.17309444939912969,0.08131953998616831,0.03485123142264356,111.55328083369568,2.625984594979026,3.1156442313935084
17,0.10145785994545936,0.15117221131873443,0.07102050196182155,0.03043735798363781,32.37653726593299,2.55683470582531,3.07337894187708
18,0.1103622012236323,0.16443967982321211,0.07725354085654261,0.03310866036708969,56.756601572405366,2.598242507367384,3.0988200202598404
19,0.12379027212001648,0.18444750545882455,0.08665319048401153,0.03713708163600494,-418.63252270710746,2.663286813923693,3.137992689071392
20,0.1492622443906751,0.22478947398453056,0.10448357107347256,0.044778673317202526,-23.402379043395587,2.796064706005998,3.2150881192389518
21,0.14051685239258116,0.25210080843307664,0.09836179667480681,0.042155055717774344,-14.277141307667803,2.7490102350225456,3.188195177154645
22,0.13923346912744833,0.2774999018165748,0.09746342838921382,0.041770040738234496,-10.477663454040078,2.742237939457772,3.1842864562922455
23,0.132574511053871,0.2929771476704427,0.0928021577377097,0.039772353316161295,-9.015638991823367,2.7076281878592865,3.164158582235135
24,0.12829769953400624,0.30208194435971214,0.08980838967380436,0.038489309860201874,-8.331724703408318,2.685856605216215,3.151364819572784
25,0.14091634181684495,0.3299885180504113,0.09864143927179146,0.042274902545053485,-6.75996580232052,2.7511251359534277,3.1894138364792144
26,0.13828927737224858,0.35398076571866177,0.096802494160574,0.04148678321167457,-5.816591579734414,2.737276792471777,3.1814169038077313
27,0.12971778100702466,0.36520148380272865,0.09080244670491726,0.0389153343021074,-5.460222849727674,2.6930467563242093,3.1556013988593623
28,0.12281652071189175,0.3661393240470475,0.08597156449832422,0.03684495621356752,-5.432404501862672,2.65846073602119,3.13511876507685
29,0.12711441313372934,0.37348102399990435,0.08898008919361053,0.0381343239401188,-5.224053151839238,2.679894653453857,3.1478433582456704
30,0.12346185851341915,0.37538041756849905,0.08642330095939339,0.03703855755402574,-5.172726601648551,2.6616571830666373,3.137022822473267
31,0.12752802820912418,0.38333840398369423,0.08926961974638692,0.03825840846273725,-4.968212670659365,2.6819756288662417,3.1490733820271646
32,0.12660592654803585,0.3899224589238678,0.08862414858362509,0.037981777964410754,-4.810845185114994,2.6773407826920446,3.146332518201975
33,0.1328419032100943,0.40579811909050845,0.092989332247066,0.039852570963028286,-4.469486610948786,2.709001106850507,3.1649619171599435
34,0.118904312197881,0.40090676864895125,0.0832330185385167,0.0356712936593643,-4.5693816339968,2.639246187379004,3.1236251629581973
35,0.13783913133541853,0.42422829872232504,0.09648739193479297,0.04135173940062556,-4.129338767218033,2.7349178656174504,3.1800506565350717
36,0.1604453547067988,0.4812331016190554,0.11231174829475915,0.04813360641203964,-3.342532808083016,2.8586347610496112,3.2501455067191016
37,0.15577867611987403,0.5312845534212679,0.10904507328391182,0.04673360283596221,-2.8634770499638083,2.832187144002714,3.2354236325004053
38,0.14899081476704285,0.571222091807762,0.10429357033692999,0.04469724443011285,-2.569615270490379,2.794580073175746,3.214246626105491
39,0.15360702717671823,0.6180377866846722,0.10752491902370276,0.046082108153015465,-2.2936883992413213,2.820045827683461,3.2286181532631524
40,0.13516032307643505,0.6373678924521606,0.09461222615350454,0.040548096922930515,-2.1963100738013996,2.7209636094614065,3.1719443600716795
41,0.12234372358857079,0.6376012649827313,0.08564060651199955,0.036703117076571236,-2.1951849132471035,2.6561237752344837,3.1337252521719914
42,0.1381309950353047,0.6613576719689355,0.0966916965247133,0.04143929851059141,-2.0863807690983633,2.7364468724731776,3.1809363641068673
43,0.12809623784855545,0.6701622907468833,0.0896673664939888,0.038428871354566636,-2.0487457455262796,2.6848396737579665,3.1507647130143717
44,0.11770267168112601,0.6634804959353612,0.0823918701767882,0.0353108015043378,-2.0771808952397484,2.633400045580301,3.1201117849002156
45,0.11761093775000772,0.6566620175664728,0.0823276564250054,0.035283281325002316,-2.107023112381515,2.632954811613416,3.119843896272318
46,0.11276943874447513,0.6426297056793409,0.07893860712113258,0.033830831623342536,-2.1712182309537886,2.609668184789019,3.1057703577362714
47,0.12280278535166358,0.6435470802369198,0.0859619497461645,0.03684083560549908,-2.166902151122326,2.6583927863289456,3.135078264268332
48,0.13051255230291237,0.6559520075518593,0.09135878661203865,0.039153765690873706,-2.1101799574470226,2.6970876662541485,3.15797744347871
49,0.1379481952530111,0.6794360428624461,0.09656373667710777,0.04138445857590333,-2.0105462510117347,2.7354890264246916,3.180381570895741
50,0.1428639880332645,0.7102446094156103,0.10000479162328514,0.04285919640997935,-1.8932730414351655,2.7614827755466047,3.195368581375736
51,0.14512008777362131,0.7444147645819061,0.10158406144153491,0.04353602633208639,-1.7782330403194795,2.773578702852972,3.202294250617597
52,0.13766329878991782,0.7674743041624839,0.09636430915294246,0.04129898963697534,-1.7081883743049358,2.7339975438126993,3.1795173022988457
53,0.13119305484402588,0.7808931802636826,0.09183513839081811,0.03935791645320776,-1.6699107336509937,2.700557240946253,3.1600147160341514
54,0.11870950246603416,0.7757115633216737,0.08309665172622391,0.03561285073981025,-1.6844863204726703,2.6382966496682174,3.123055037474335
55,0.13828161064186076,0.7996923875616464,0.09679712744930252,0.04148448319255823,-1.6190828683213736,2.737236581989519,3.181393624533502
56,0.1309251989486209,0.8127121583786917,0.09164763926403462,0.039277559684586266,-1.5856570777753578,2.6991905001020795,3.1592125017169144
57,0.12798871235310927,0.8213565641684246,0.08959209864717649,0.03839661370593278,-1.5642162665147745,2.684297225334211,3.150444513613393
58,0.14279070330110916,0.8520559364706775,0.09995349231077641,0.04283721099033275,-1.492543638132665,2.761091633320085,3.19514411764745
59,0.1269916086350961,0.8592146577205708,0.08889412604456726,0.03809748259052883,-1.4767648431150509,2.6792774224638016,3.1474783426717927
60,0.14018238776511918,0.8860276398741986,0.09812767143558342,0.04205471632953575,-1.420517370543525,2.747242075190939,3.1871755947301006
61,0.13849583134222376,0.9103276529577122,0.09694708193955663,0.041548749402667125,-1.3731192298793478,2.7383605719792103,3.1820442129186666
62,0.12557667876679993,0.9153781287038443,0.08790367513675994,0.037673003630039975,-1.3636623604569662,2.6721862611416722,3.1432788016949518
63,0.13060363988816157,0.9279187765208052,0.09142254792171309,0.03918109196644847,-1.3407341844145453,2.697551563770106,3.1582499870675496
64,0.14092709310141283,0.9558413696255106,0.09864896517098898,0.04227812793042385,-1.292352668233095,2.751182098327153,3.1894466465998614
65,0.1432602817027056,0.9872404137461421,0.10028219719189392,0.04297808451081168,-1.241955793133556,2.763599833132062,3.196582935429344
66,0.15316542305898537,1.0333981184876304,0.10721579614128975,0.04594962691769561,-1.1746197428482466,2.817589620150357,3.2272377625907445
67,0.14658896077445066,1.069756894425162,0.10261227254211545,0.0439766882323352,-1.126509089984262,2.781511084060871,3.2068194868165087
68,0.1760336725644578,1.1499882909298043,0.12322357079512045,0.052810101769337335,-1.0331330785756765,2.9506749131197716,3.3003078439587763
69,0.14446638177479654,1.1831844241578513,0.10112646724235758,0.04333991453243896,-0.9988756171184991,2.770063012214215,3.20028444737929
70,0.1413472499096447,1.211733050906822,0.09894307493675128,0.04240417497289341,-0.9711809103106392,2.7534100187290775,3.1907293846382743
