time,lambda_main,queue_lambdas.Flight Database,queue_lambdas.Flight Tracker Service,queue_lambdas.External Flight APIs,delays.Flight Database,delays.Flight Tracker Service,delays.External Flight APIs
1,0.1,0.065,0.135,0.05,8.542717064434258,3.05689724481349,3.269981379666343
2,0.0788811988195308,0.05127277923269502,0.10648961840636659,0.0394405994097654,7.646078537844088,2.81183640365464,3.1608405784359275
3,0.10074150137470617,0.065481975893559,0.13600102685585333,0.05037075068735308,8.578036130494928,3.066280173258425,3.2739505465532877
4,0.11210800528300878,0.0728702034339557,0.15134580713206186,0.05605400264150439,9.158467594292661,3.2176763351726727,3.3360228761702233
5,0.12611539190567175,0.08197500473868664,0.17025577907265688,0.06305769595283588,9.99162992391488,3.4261440774542553,3.415832018829569
6,0.11902211235529617,0.07736437303094251,0.16067985167964982,0.05951105617764808,9.55160901924766,3.317308150045497,3.374945480074733
7,0.11971052191335703,0.07781183924368207,0.161609204583032,0.059855260956678515,9.592608040054667,3.327566872203244,3.3788706206936516
8,0.11928533016661179,0.07753546460829766,0.16103519572492592,0.059642665083305894,9.56724380767544,3.321223160405071,3.376445205470156
9,0.11524440238604976,0.07490886155093235,0.15557994322116717,0.05762220119302488,9.332718637450425,3.262119713467291,3.3535672181484584
10,0.09671939705659663,0.0628676080867878,0.13057118602640544,0.048359698528298314,8.389883417758773,3.0160644694299186,3.252535574837559
11,0.12426482115903881,0.08077213375337522,0.1677575085647024,0.062132410579519404,9.872970231872765,3.3970671033952358,3.405069888864366
12,0.13072112455489146,0.08496873096067944,0.17647351814910348,0.06536056227744573,10.299717170241115,3.5007194484630024,3.442914689948639
13,0.11312210264286637,0.07352936671786314,0.1527148385678696,0.05656105132143319,9.214092384257729,3.231913236341716,3.341675406989918
14,0.11983670889834533,0.07789386078392446,0.1617795570127662,0.059918354449172664,9.6001614517543,3.329454203622536,3.3795910979707067
15,0.11697630358251809,0.07603459732863677,0.15791800983639942,0.058488151791259047,9.431810895868233,3.287191296353124,3.363334420474285
16,0.11617077140881188,0.07551100141572772,0.15683054140189603,0.05808538570440594,9.385461193366645,3.2754823745692225,3.358784486588248
17,0.10145785994545936,0.06594760896454858,0.13696811092637012,0.05072892997272968,8.61243607170367,3.0753998122792985,3.2777942889575447
18,0.1103622012236323,0.07173543079536099,0.1489889716519036,0.05518110061181615,9.06426469957153,3.193458633842421,3.326336513923936
19,0.12379027212001648,0.0804636768780107,0.16711686736202225,0.06189513606000824,9.842994518613876,3.389690116879781,3.4023210301257634
20,0.1492622443906751,0.09702045885393881,0.20150402992741137,0.07463112219533755,11.759404913826279,3.836929638280539,3.556427854155883
21,0.14051685239258116,0.09133595405517775,0.18969775072998457,0.07025842619629058,11.022584866644323,3.6706497108355305,3.5019681250229397
22,0.13923346912744833,0.0905017549328414,0.18796518332205525,0.06961673456372416,10.922155314077155,3.6474531922361186,3.494116204240836
23,0.132574511053871,0.08617343218501615,0.17897558992272583,0.0662872555269355,10.429122577170595,3.5316533816753237,3.45393455727115
24,0.12829769953400624,0.08339350469710406,0.17320189437090844,0.06414884976700312,10.13527850967905,3.4610795760586717,3.4286111318489243
25,0.14091634181684495,0.09159562218094922,0.1902370614527407,0.07045817090842248,11.05422442202994,3.6779306185997838,3.5044194650896663
26,0.13828927737224858,0.08988803029196157,0.1866905244525356,0.06914463868612429,10.849429463546484,3.630573716298317,3.488361949383088
27,0.12971778100702466,0.08431655765456603,0.1751190043594833,0.06485889050351233,10.23099353434437,3.484198172455643,3.436978295942705
28,0.12281652071189175,0.07983073846272964,0.16580230296105386,0.061408260355945876,9.78205224166429,3.37465277897671,3.3966943805891727
29,0.12711441313372934,0.08262436853692406,0.17160445773053462,0.06355720656686467,10.056881007001142,3.4420489851806773,3.421670224314443
30,0.12346185851341915,0.08025020803372244,0.16667350899311584,0.061730929256709574,9.822356052577923,3.38460357392345,3.400421268285284
31,0.12752802820912418,0.08289321833593072,0.17216283808231764,0.06376401410456209,10.084146425675884,3.448677248092895,3.424093205781312
32,0.12660592654803585,0.0822938522562233,0.1709180008398484,0.06330296327401792,10.023563055220796,3.4339352203933657,3.4186961750290017
33,0.1328419032100943,0.08634723708656128,0.1793365693336273,0.06642095160504714,10.448061073516698,3.5361614718283043,3.455530243403194
34,0.118904312197881,0.07728780292862265,0.16052082146713936,0.0594521560989405,9.544628386528878,3.3155590195239926,3.3742747263767927
35,0.13783913133541853,0.08959543536802204,0.186082827302815,0.06891956566770926,10.815097067808386,3.622581254041879,3.4856252589755092
36,0.1604453547067988,0.10428948055941922,0.21660122885417837,0.0802226773533994,12.858545255776228,4.072857613301694,3.6285857748467154
37,0.15577867611987403,0.10125613947791812,0.21030121276182995,0.07788933805993702,12.375833856288711,3.9709663165516877,3.5981214813759075
38,0.14899081476704285,0.09684402959857785,0.20113759993550784,0.07449540738352142,11.735058152856054,3.8315426192613686,3.5547121370199033
39,0.15360702717671823,0.09984456766486685,0.2073694866885696,0.07680351358835912,12.163347734123048,3.9252691748422937,3.584118586837053
40,0.13516032307643505,0.08785420999968278,0.1824664361531873,0.06758016153821753,10.615196763059487,3.5757367046570216,3.469427677749909
41,0.12234372358857079,0.07952342033257101,0.16516402684457057,0.061171861794285395,9.752733554508032,3.367399534166076,3.393969112768499
42,0.1381309950353047,0.08978514677294806,0.18647684329766134,0.06906549751765236,10.837332535133791,3.627759354338092,3.487399172489309
