time,lambda_main,queue_lambdas.Flight API,queue_lambdas.Postgres Database,queue_lambdas.Flight Tracker Website,delays.Flight API,delays.Postgres Database,delays.Flight Tracker Website
1,0.1,0.1,0.0,0.0,12.186387043778229,2.163897559128207,2.8104718489579037
2,0.0788811988195308,0.0788811988195308,0.0,0.0,9.69202835581951,2.163897559128207,2.8104718489579037
3,0.10074150137470617,0.10074150137470617,0.0,0.0,12.29751008411533,2.163897559128207,2.8104718489579037
4,0.11210800528300878,0.11210800528300878,0.0,0.0,14.295768227196334,2.163897559128207,2.8104718489579037
5,0.12611539190567175,0.12611539190567175,0.0,0.0,17.875214791632864,2.163897559128207,2.8104718489579037
6,0.11902211235529617,0.11902211235529617,0.0,0.0,15.863783840491486,2.163897559128207,2.8104718489579037
7,0.11971052191335703,0.11971052191335703,0.0,0.0,16.0389415999184,2.163897559128207,2.8104718489579037
8,0.11928533016661179,0.11928533016661179,0.0,0.0,15.930302898538384,2.163897559128207,2.8104718489579037
9,0.11524440238604976,0.11524440238604976,0.0,0.0,14.96683949353812,2.163897559128207,2.8104718489579037
10,0.09671939705659663,0.09671939705659663,0.0,0.0,11.717919873288398,2.163897559128207,2.8104718489579037
11,0.12426482115903881,0.12426482115903881,0.0,0.0,17.30284783917625,2.163897559128207,2.8104718489579037
12,0.13072112455489146,0.13072112455489146,0.0,0.0,19.478881080902696,2.163897559128207,2.8104718489579037
13,0.11312210264286637,0.11312210264286637,0.0,0.0,14.506067044806835,2.163897559128207,2.8104718489579037
14,0.11983670889834533,0.11983670889834533,0.0,0.0,16.07146873682737,2.163897559128207,2.8104718489579037
15,0.11697630358251809,0.11697630358251809,0.0,0.0,15.365120112207826,2.163897559128207,2.8104718489579037
16,0.11617077140881188,0.11617077140881188,0.0,0.0,15.177269550453849,2.163897559128207,2.8104718489579037
17,0.10145785994545936,0.10145785994545936,0.0,0.0,12.406806941034985,2.163897559128207,2.8104718489579037
18,0.1103622012236323,0.1103622012236323,0.0,0.0,13.947667771709826,2.163897559128207,2.8104718489579037
19,0.12379027212001648,0.12379027212001648,0.0,0.0,17.161930373963838,2.163897559128207,2.8104718489579037
20,0.1492622443906751,0.1492622443906751,0.0,0.0,30.49102946642191,2.163897559128207,2.8104718489579037
21,0.14051685239258116,0.14051685239258116,0.0,0.0,24.072067983280917,2.163897559128207,2.8104718489579037
22,0.13923346912744833,0.13923346912744833,0.0,0.0,23.35067935259236,2.163897559128207,2.8104718489579037
23,0.132574511053871,0.132574511053871,0.0,0.0,20.208444216370825,2.163897559128207,2.8104718489579037
24,0.12829769953400624,0.12829769953400624,0.0,0.0,18.600818154521523,2.163897559128207,2.8104718489579037
25,0.14091634181684495,0.14091634181684495,0.0,0.0,24.30580565243125,2.163897559128207,2.8104718489579037
26,0.13828927737224858,0.13828927737224858,0.0,0.0,22.84696055737001,2.163897559128207,2.8104718489579037
27,0.12971778100702466,0.12971778100702466,0.0,0.0,19.105483330285864,2.163897559128207,2.8104718489579037
28,0.12281652071189175,0.12281652071189175,0.0,0.0,16.879843645585204,2.163897559128207,2.8104718489579037
29,0.12711441313372934,0.12711441313372934,0.0,0.0,18.20022937413098,2.163897559128207,2.8104718489579037
30,0.12346185851341915,0.12346185851341915,0.0,0.0,17.06574423092187,2.163897559128207,2.8104718489579037
31,0.12752802820912418,0.12752802820912418,0.0,0.0,18.33827789909545,2.163897559128207,2.8104718489579037
32,0.12660592654803585,0.12660592654803585,0.0,0.0,18.033338535359448,2.163897559128207,2.8104718489579037
33,0.1328419032100943,0.1328419032100943,0.0,0.0,20.31823541619199,2.163897559128207,2.8104718489579037
34,0.118904312197881,0.118904312197881,0.0,0.0,15.834193592511292,2.163897559128207,2.8104718489579037
35,0.13783913133541853,0.13783913133541853,0.0,0.0,22.614383635602778,2.163897559128207,2.8104718489579037
36,0.1604453547067988,0.1604453547067988,0.0,0.0,46.267548491399744,2.163897559128207,2.8104718489579037
37,0.15577867611987403,0.15577867611987403,0.0,0.0,38.05160631649047,2.163897559128207,2.8104718489579037
38,0.14899081476704285,0.14899081476704285,0.0,0.0,30.240751903498293,2.163897559128207,2.8104718489579037
39,0.15360702717671823,0.15360702717671823,0.0,0.0,35.1472248575522,2.163897559128207,2.8104718489579037
40,0.13516032307643505,0.13516032307643505,0.0,0.0,21.32266515932149,2.163897559128207,2.8104718489579037
41,0.12234372358857079,0.12234372358857079,0.0,0.0,16.7461965792807,2.163897559128207,2.8104718489579037
42,0.1381309950353047,0.1381309950353047,0.0,0.0,22.764637474772904,2.163897559128207,2.8104718489579037
43,0.12809623784855545,0.12809623784855545,0.0,0.0,18.531374567707736,2.163897559128207,2.8104718489579037
44,0.11770267168112601,0.11770267168112601,0.0,0.0,15.538541627780173,2.163897559128207,2.8104718489579037
45,0.11761093775000772,0.11761093775000772,0.0,0.0,15.51642433797572,2.163897559128207,2.8104718489579037
46,0.11276943874447513,0.11276943874447513,0.0,0.0,14.432235104925489,2.163897559128207,2.8104718489579037
47,0.12280278535166358,0.12280278535166358,0.0,0.0,16.875930948623573,2.163897559128207,2.8104718489579037
48,0.13051255230291237,0.13051255230291237,0.0,0.0,19.400063393943004,2.163897559128207,2.8104718489579037
49,0.1379481952530111,0.1379481952530111,0.0,0.0,22.67029795939815,2.163897559128207,2.8104718489579037
50,0.1428639880332645,0.1428639880332645,0.0,0.0,25.51359661993111,2.163897559128207,2.8104718489579037
51,0.14512008777362131,0.14512008777362131,0.0,0.0,27.071887454591828,2.163897559128207,2.8104718489579037
52,0.13766329878991782,0.13766329878991782,0.0,0.0,22.524817199474178,2.163897559128207,2.8104718489579037
53,0.13119305484402588,0.13119305484402588,0.0,0.0,19.659605424152698,2.163897559128207,2.8104718489579037
54,0.11870950246603416,0.11870950246603416,0.0,0.0,15.785500768515565,2.163897559128207,2.8104718489579037
55,0.13828161064186076,0.13828161064186076,0.0,0.0,22.842959350647817,2.163897559128207,2.8104718489579037
56,0.1309251989486209,0.1309251989486209,0.0,0.0,19.556621405483156,2.163897559128207,2.8104718489579037
57,0.12798871235310927,0.12798871235310927,0.0,0.0,18.494522470420765,2.163897559128207,2.8104718489579037
58,0.14279070330110916,0.14279070330110916,0.0,0.0,25.465981420498895,2.163897559128207,2.8104718489579037
59,0.1269916086350961,0.1269916086350961,0.0,0.0,18.159641303855654,2.163897559128207,2.8104718489579037
60,0.14018238776511918,0.14018238776511918,0.0,0.0,23.87980557328365,2.163897559128207,2.8104718489579037
61,0.13849583134222376,0.13849583134222376,0.0,0.0,22.95528956229883,2.163897559128207,2.8104718489579037
62,0.12557667876679993,0.12557667876679993,0.0,0.0,17.70472513906118,2.163897559128207,2.8104718489579037
63,0.13060363988816157,0.13060363988816157,0.0,0.0,19.4344060286135,2.163897559128207,2.8104718489579037
64,0.14092709310141283,0.14092709310141283,0.0,0.0,24.31215887255847,2.163897559128207,2.8104718489579037
65,0.1432602817027056,0.1432602817027056,0.0,0.0,25.774196344437012,2.163897559128207,2.8104718489579037
66,0.15316542305898537,0.15316542305898537,0.0,0.0,34.610036963100164,2.163897559128207,2.8104718489579037
67,0.14658896077445066,0.14658896077445066,0.0,0.0,28.192986189973762,2.163897559128207,2.8104718489579037
68,0.1760336725644578,0.1760336725644578,0.0,0.0,165.97226493539742,2.163897559128207,2.8104718489579037
69,0.14446638177479654,0.14446638177479654,0.0,0.0,26.60112586108589,2.163897559128207,2.8104718489579037
70,0.1413472499096447,0.1413472499096447,0.0,0.0,24.563068630809695,2.163897559128207,2.8104718489579037
71,0.14031103521720317,0.14031103521720317,0.0,0.0,23.953392218067023,2.163897559128207,2.8104718489579037
72,0.1237983179200974,0.1237983179200974,0.0,0.0,17.16430044564284,2.163897559128207,2.8104718489579037
73,0.14144023297040295,0.14144023297040295,0.0,0.0,24.619297858992816,2.163897559128207,2.8104718489579037
74,0.1443990552155362,0.1443990552155362,0.0,0.0,26.553569419943617,2.163897559128207,2.8104718489579037
75,0.1385031550189867,0.1385031550189867,0.0,0.0,22.95914938838896,2.163897559128207,2.8104718489579037
76,0.13221312121545123,0.13221312121545123,0.0,0.0,20.061929410259058,2.163897559128207,2.8104718489579037
77,0.11933675411486933,0.11933675411486933,0.0,0.0,15.943363687275262,2.163897559128207,2.8104718489579037
78,0.11986041967465588,0.11986041967465588,0.0,0.0,16.07759537786846,2.163897559128207,2.8104718489579037
