time,lambda_main,queue_lambdas.frontend,queue_lambdas.database,queue_lambdas.backend,delays.frontend,delays.database,delays.backend
1,0.1,0.0,0.1,0.0,5.492731655556185,2.761446236130964,2.8104718489579037
2,0.0788811988195308,0.0,0.0788811988195308,0.0,5.492731655556185,2.6092772716921417,2.8104718489579037
3,0.10074150137470617,0.0,0.10074150137470617,0.0,5.492731655556185,2.767112219885018,2.8104718489579037
4,0.11210800528300878,0.0,0.11210800528300878,0.0,5.492731655556185,2.856970784538716,2.8104718489579037
5,0.12611539190567175,0.0,0.12611539190567175,0.0,5.492731655556185,2.9760691877227354,2.8104718489579037
6,0.11902211235529617,0.0,0.11902211235529617,0.0,5.492731655556185,2.9145429222563664,2.8104718489579037
7,0.11971052191335703,0.0,0.11971052191335703,0.0,5.492731655556185,2.9204024153409613,2.8104718489579037
8,0.11928533016661179,0.0,0.11928533016661179,0.0,5.492731655556185,2.9167805584891027,2.8104718489579037
9,0.11524440238604976,0.0,0.11524440238604976,0.0,5.492731655556185,2.882802409080455,2.8104718489579037
10,0.09671939705659663,0.0,0.09671939705659663,0.0,5.492731655556185,2.7366543136994137,2.8104718489579037
11,0.12426482115903881,0.0,0.12426482115903881,0.0,5.492731655556185,2.9597684801283144,2.8104718489579037
12,0.13072112455489146,0.0,0.13072112455489146,0.0,5.492731655556185,3.017429024062669,2.8104718489579037
13,0.11312210264286637,0.0,0.11312210264286637,0.0,5.492731655556185,2.8652721844319675,2.8104718489579037
14,0.11983670889834533,0.0,0.11983670889834533,0.0,5.492731655556185,2.921479029373271,2.8104718489579037
15,0.11697630358251809,0.0,0.11697630358251809,0.0,5.492731655556185,2.8972676812839824,2.8104718489579037
16,0.11617077140881188,0.0,0.11617077140881188,0.0,5.492731655556185,2.890521659470329,2.8104718489579037
17,0.10145785994545936,0.0,0.10145785994545936,0.0,5.492731655556185,2.772608207407162,2.8104718489579037
18,0.1103622012236323,0.0,0.1103622012236323,0.0,5.492731655556185,2.8427917602562407,2.8104718489579037
19,0.12379027212001648,0.0,0.12379027212001648,0.0,5.492731655556185,2.955617152427647,2.8104718489579037
20,0.1492622443906751,0.0,0.1492622443906751,0.0,5.492731655556185,3.196247952084259,2.8104718489579037
21,0.14051685239258116,0.0,0.14051685239258116,0.0,5.492731655556185,3.1093344631331448,2.8104718489579037
22,0.13923346912744833,0.0,0.13923346912744833,0.0,5.492731655556185,3.0969760797609096,2.8104718489579037
23,0.132574511053871,0.0,0.132574511053871,0.0,5.492731655556185,3.0343987846103193,2.8104718489579037
24,0.12829769953400624,0.0,0.12829769953400624,0.0,5.492731655556185,2.995524214316668,2.8104718489579037
25,0.14091634181684495,0.0,0.14091634181684495,0.0,5.492731655556185,3.113201514671898,2.8104718489579037
26,0.13828927737224858,0.0,0.13828927737224858,0.0,5.492731655556185,3.0879464941211787,2.8104718489579037
27,0.12971778100702466,0.0,0.12971778100702466,0.0,5.492731655556185,3.0083212774186623,2.8104718489579037
28,0.12281652071189175,0.0,0.12281652071189175,0.0,5.492731655556185,2.947135190180524,2.8104718489579037
29,0.12711441313372934,0.0,0.12711441313372934,0.0,5.492731655556185,2.9849438924458966,2.8104718489579037
