time,lambda_main,queue_lambdas.React Frontend,queue_lambdas.REST API Backend,queue_lambdas.PostgreSQL Database,delays.React Frontend,delays.REST API Backend,delays.PostgreSQL Database
1,0.1,0.08000000000000002,0.1,0.020000000000000004,9.79827549331593,2.761446236130964,2.977855425850279
2,0.0788811988195308,0.06310495905562465,0.0788811988195308,0.01577623976390616,8.40662392273127,2.6092772716921417,2.9408659568938287
3,0.10074150137470617,0.08059320109976494,0.10074150137470617,0.020148300274941234,9.85555943248568,2.767112219885018,2.979171077783919
4,0.11210800528300878,0.08968640422640703,0.11210800528300878,0.022421601056601757,10.825747839449049,2.856970784538716,2.999485247414779
5,0.12611539190567175,0.10089231352453741,0.12611539190567175,0.025223078381134353,12.320359594683598,2.9760691877227354,3.0249034808305275
6,0.11902211235529617,0.09521768988423694,0.11902211235529617,0.023804422471059235,11.515286705237896,2.9145429222563664,3.0119781872675784
7,0.11971052191335703,0.09576841753068563,0.11971052191335703,0.023942104382671407,11.58878027840233,2.9204024153409613,3.013227757495014
8,0.11928533016661179,0.09542826413328943,0.11928533016661179,0.02385706603332236,11.543277107338344,2.9167805584891027,3.0124558460659503
9,0.11524440238604976,0.09219552190883981,0.11524440238604976,0.023048880477209953,11.128019059428645,2.882802409080455,3.005139463498699
10,0.09671939705659663,0.07737551764527731,0.09671939705659663,0.019343879411319327,9.552625886709176,2.7366543136994137,2.972048541546336
11,0.12426482115903881,0.09941185692723105,0.12426482115903881,0.024852964231807762,12.099664644013568,2.9597684801283144,3.0215207083795153
12,0.13072112455489146,0.10457689964391317,0.13072112455489146,0.026144224910978293,12.9062440402849,3.017429024062669,3.0333555601076747
13,0.11312210264286637,0.0904976821142931,0.11312210264286637,0.022624420528573275,10.921669475004585,2.8652721844319675,3.0013111070742315
14,0.11983670889834533,0.09586936711867627,0.11983670889834533,0.02396734177966907,11.602353670015171,2.921479029373271,3.0134569189156895
15,0.11697630358251809,0.09358104286601449,0.11697630358251809,0.02339526071650362,11.30227876454762,2.8972676812839824,3.00827083556395
16,0.11617077140881188,0.09293661712704951,0.11617077140881188,0.023234154281762377,11.22055409059123,2.890521659470329,3.006813577984029
17,0.10145785994545936,0.08116628795636749,0.10145785994545936,0.020291571989091872,9.911540722135856,2.772608207407162,2.980443223187537
18,0.1103622012236323,0.08828976097890584,0.1103622012236323,0.02207244024472646,10.664503662173976,2.8427917602562407,2.996347164926244
19,0.12379027212001648,0.09903221769601318,0.12379027212001648,0.024758054424003296,12.044338884419247,2.955617152427647,3.0206544694079245
20,0.1492622443906751,0.11940979551254008,0.1492622443906751,0.02985244887813502,15.96195178823654,3.196247952084259,3.0678640043477197
21,0.14051685239258116,0.11241348191406493,0.14051685239258116,0.028103370478516233,14.358472006364359,3.1093344631331448,3.0514899088719925
22,0.13923346912744833,0.11138677530195867,0.13923346912744833,0.02784669382548967,14.149875418138675,3.0969760797609096,3.0491017114925785
23,0.132574511053871,0.1060596088430968,0.132574511053871,0.0265149022107742,13.158038995123292,3.0343987846103193,3.0367700923992906
24,0.12829769953400624,0.102638159627205,0.12829769953400624,0.02565953990680125,12.591189171034001,2.995524214316668,3.0289024013058365
25,0.14091634181684495,0.11273307345347597,0.14091634181684495,0.028183268363368992,14.42466457317486,3.113201514671898,3.052234066701983
26,0.13828927737224858,0.11063142189779887,0.13828927737224858,0.027657855474449718,14.000238675223128,3.0879464941211787,3.0473470876209174
27,0.12971778100702466,0.10377422480561974,0.12971778100702466,0.025943556201404934,12.773912472424836,3.0083212774186623,3.0315102811760593
28,0.12281652071189175,0.09825321656951341,0.12281652071189175,0.024563304142378353,11.932382664979695,2.947135190180524,3.018878543738711
29,0.12711441313372934,0.10169153050698349,0.12711441313372934,0.02542288262674587,12.44288016390938,2.9849438924458966,3.0267328035051952
30,0.12346185851341915,0.09876948681073533,0.12346185851341915,0.024692371702683832,12.00634576593947,2.9527510206866463,3.0200552759276507
31,0.12752802820912418,0.10202242256729935,0.12752802820912418,0.025505605641824837,12.494322416046648,2.988633712804854,3.0274908280614965
32,0.12660592654803585,0.10128474123842868,0.12660592654803585,0.02532118530960717,12.380216089252583,2.980420198959763,3.025801429734041
33,0.1328419032100943,0.10627352256807543,0.1328419032100943,0.026568380642018857,13.195179270066573,3.0368628174595407,3.0372633491323358
34,0.118904312197881,0.0951234497583048,0.118904312197881,0.0237808624395762,11.502803838709996,2.9135426051411843,3.0117644655312805
35,0.13783913133541853,0.11027130506833482,0.13783913133541853,0.027567826267083706,13.930007456251767,3.083660123671987,3.046511276512307
36,0.1604453547067988,0.12835628376543903,0.1604453547067988,0.03208907094135976,18.62110985045675,3.3147296261148496,3.0890600604755116
37,0.15577867611987403,0.12462294089589923,0.15577867611987403,0.031155735223974808,17.410733296839666,3.264235886603834,3.0801795022773204
38,0.14899081476704285,0.11919265181363428,0.14899081476704285,0.02979816295340857,15.906818163902903,3.1934774303694047,3.0673531617253795
39,0.15360702717671823,0.12288562174137459,0.15360702717671823,0.030721405435343647,16.89955553344372,3.24125933039548,3.076064301275557
40,0.13516032307643505,0.10812825846114804,0.13516032307643505,0.02703206461528701,13.526214051770134,3.058396137756907,3.0415468518369715
41,0.12234372358857079,0.09787497887085664,0.12234372358857079,0.02446874471771416,11.878770483857288,2.943034374794199,3.018017010286687
42,0.1381309950353047,0.11050479602824377,0.1381309950353047,0.027626199007060943,13.975463080540166,3.0864379439108163,3.0470531437556736
43,0.12809623784855545,0.10247699027884437,0.12809623784855545,0.025619247569711092,12.565689444618295,2.9937175555962328,3.0285327944494886
44,0.11770267168112601,0.09416213734490081,0.11770267168112601,0.023540534336225202,11.376999390023945,2.903377789953655,3.00958609208101
45,0.11761093775000772,0.09408875020000618,0.11761093775000772,0.023522187550001544,11.367508367385838,2.9026047152695638,3.0094199232503773
46,0.11276943874447513,0.09021555099558011,0.11276943874447513,0.022553887748895027,10.888119446247233,2.862379812436368,3.0006758915490157
47,0.12280278535166358,0.09824222828133088,0.12280278535166358,0.02456055707033272,11.930818338321107,2.947015895084722,3.0188535081545487
48,0.13051255230291237,0.1044100418423299,0.13051255230291237,0.026102510460582474,12.878510072162186,3.0155311935752396,3.032971783750795
49,0.1379481952530111,0.11035855620240889,0.1379481952530111,0.027589639050602223,13.946958714674011,3.0846975569809367,3.0467137394482253
50,0.1428639880332645,0.11429119042661161,0.1428639880332645,0.028572797606652902,14.756317451764357,3.1321933030011837,3.055867292528359
51,0.14512008777362131,0.11609607021889706,0.14512008777362131,0.029024017554724266,15.160081654835489,3.154484596149079,3.060086749083925
52,0.13766329878991782,0.11013063903193426,0.13766329878991782,0.027532659757983566,13.902765280533783,3.0819890451444443,3.046184922983305
53,0.13119305484402588,0.10495444387522071,0.13119305484402588,0.026238610968805177,12.969439944784964,3.021732019264418,3.0342242781599738
54,0.11870950246603416,0.09496760197282733,0.11870950246603416,0.023741900493206833,11.482219818193961,2.911889855904505,3.0114110938887837
55,0.13828161064186076,0.11062528851348861,0.13828161064186076,0.027656322128372154,13.99903659413045,3.0878733904070415,3.047332848538553
56,0.1309251989486209,0.10474015915889673,0.1309251989486209,0.026185039789724182,12.93349578428674,3.0192882413720383,3.033731154346435
57,0.12798871235310927,0.10239096988248741,0.12798871235310927,0.025597742470621854,12.552121786057011,2.9927541851408423,3.0283355622920283
58,0.14279070330110916,0.11423256264088733,0.14279070330110916,0.02855814066022183,14.74356235045929,3.1314744982470324,3.055730427330553
59,0.1269916086350961,0.10159328690807688,0.1269916086350961,0.02539832172701922,12.42768814373167,2.9838501188051576,3.026507815090625
60,0.14018238776511918,0.11214591021209536,0.14018238776511918,0.02803647755302384,14.303519019239491,3.1061042315440157,3.05086715644964
61,0.13849583134222376,0.11079666507377901,0.13849583134222376,0.027699166268444753,14.032702545371771,3.0899173286981045,3.047730761349951
62,0.12557667876679993,0.10046134301343995,0.12557667876679993,0.025115335753359988,12.255287551335599,2.9713054494703948,3.0239179525561357
63,0.13060363988816157,0.10448291191052926,0.13060363988816157,0.026120727977632315,12.890607364572913,3.0163597195853735,3.033139374453329
64,0.14092709310141283,0.11274167448113026,0.14092709310141283,0.028185418620282565,14.426454419213801,3.1133057198642664,3.052254098912413
65,0.1432602817027056,0.11460822536216449,0.1432602817027056,0.028652056340541122,14.825675939347994,3.136086027415963,3.056607615646675
66,0.15316542305898537,0.1225323384471883,0.15316542305898537,0.030633084611797076,16.799258406098982,3.236626573727976,3.0752288214721775
67,0.14658896077445066,0.11727116861956054,0.14658896077445066,0.029317792154890134,15.435050719635088,3.169169059051,3.0628401681554807
68,0.1760336725644578,0.14082693805156624,0.1760336725644578,0.03520673451289156,24.25310291901455,3.4953374118306146,3.119099011434922
69,0.14446638177479654,0.11557310541983723,0.14446638177479654,0.028893276354959307,15.040835070828555,3.1479931022473155,3.0588629609861684
70,0.1413472499096447,0.11307779992771577,0.1413472499096447,0.028269449981928943,14.496750589801298,3.1173834962511955,3.0530371573553916
71,0.14031103521720317,0.11224882817376254,0.14031103521720317,0.028062207043440635,14.32460611464717,3.107345903336541,3.051106659954069
72,0.1237983179200974,0.09903865433607793,0.1237983179200974,0.024759663584019483,12.045272695078896,2.9556874395756294,3.020669152023995
73,0.14144023297040295,0.11315218637632236,0.14144023297040295,0.02828804659408059,14.512400207705817,3.1182873750633227,3.0532105068867
74,0.1443990552155362,0.11551924417242897,0.1443990552155362,0.028879811043107242,15.02866008069267,3.1473260468103605,3.0587369760646164
75,0.1385031550189867,0.11080252401518936,0.1385031550189867,0.02770063100379734,14.033856363881652,3.089987253736897,3.0477443668434594
76,0.13221312121545123,0.10577049697236099,0.13221312121545123,0.026442624243090247,13.108173598541924,3.0310749051823342,3.0361036932311527
77,0.11933675411486933,0.09546940329189546,0.11933675411486933,0.023867350822973865,11.548761391321515,2.917218118955918,3.0125491822948067
78,0.11986041967465588,0.09588833573972472,0.11986041967465588,0.02397208393493118,11.604907685642242,2.9216814158102684,3.013499982675985
79,0.1329368011237426,0.10634944089899408,0.1329368011237426,0.02658736022474852,13.208410874730582,3.037738269160985,3.037438445281636
80,0.12786832564367734,0.10229466051494188,0.12786832564367734,0.02557366512873547,12.53696601194691,2.9916763205757637,3.028114769512074
81,0.1258195973560505,0.10065567788484041,0.1258195973560505,0.025163919471210102,12.28454478842648,2.9734516432400557,3.0243622712246174
82,0.13430920963257617,0.10744736770606095,0.13430920963257617,0.026861841926515237,13.402776170658884,3.050455673308168,3.03997293538865
83,0.14362025880051418,0.11489620704041136,0.14362025880051418,0.02872405176010284,14.889245917814899,3.139630416306264,3.057280406116127
84,0.1395611999927679,0.11164895999421431,0.1395611999927679,0.02791223999855358,14.202565241271678,3.1001226256393566,3.04971121747022
85,0.14054463978030604,0.11243571182424483,0.14054463978030604,0.028108927956061208,14.363056515083697,3.1096031337217185,3.0515416587056197
86,0.15145796580969595,0.12116637264775676,0.15145796580969595,0.03029159316193919,16.422409877878458,3.218837982651297,3.072002713742514
87,0.14375777842781284,0.11500622274225028,0.14375777842781284,0.02875155568556257,14.91367527612099,3.1409865711958145,3.0575375059218066
88,0.1376383573821703,0.11011068590573625,0.1376383573821703,0.027527671476434062,13.89890967253558,3.0817521534899215,3.046138636212063
89,0.1444811523408785,0.1155849218727028,0.1444811523408785,0.0288962304681757,15.043508743387974,3.148139483304128,3.0588906018175446
90,0.13644879410995314,0.10915903528796252,0.13644879410995314,0.02728975882199063,13.717469986788302,3.07049590227244,3.0439326527765047
91,0.1328270996496531,0.1062616797197225,0.1328270996496531,0.026565419929930625,13.193117601275224,3.036726297231273,3.0372360369017386
92,0.14694677686866553,0.11755742149493242,0.14694677686866553,0.029389355373733106,15.503550485418081,3.172766912305305,3.0635116491680563
93,0.1358442428061915,0.1086753942449532,0.1358442428061915,0.0271688485612383,13.627063530069199,3.0648067863273285,3.0428127677779733
94,0.10979835532340618,0.08783868425872494,0.10979835532340618,0.021959671064681236,10.613447573552397,2.838242351583722,2.995335054352154
95,0.12851419413683537,0.1028113553094683,0.12851419413683537,0.025702838827367076,12.618707285699909,2.9974681168280264,3.029299688520805
96,0.12371228153027247,0.09896982522421799,0.12371228153027247,0.024742456306054497,12.03529464844574,2.9549360091684833,3.020512153372454
97,0.12418290985000123,0.09934632788000099,0.12418290985000123,0.024836581970000247,12.090078668533163,2.959051092188571,3.021371152491597
98,0.13222140067493665,0.10577712053994932,0.13222140067493665,0.02644428013498733,13.109311786664646,3.0311509739222675,3.0361189571962606
99,0.12901480278040164,0.10321184222432132,0.12901480278040164,0.02580296055608033,12.682801435375373,3.0019727524026054,3.030218749993862
100,0.13285843975149816,0.10628675180119854,0.13285843975149816,0.026571687950299634,13.197483050457745,3.037015333963442,3.037293859254028
