time,lambda_main,queue_lambdas.SpeechToText,queue_lambdas.Transcript,queue_lambdas.LectureSummarizerExtension,queue_lambdas.AISummarizer,delays.SpeechToText,delays.Transcript,delays.LectureSummarizerExtension,delays.AISummarizer
1,0.1,0.06,0.0,0.1,0.04000000000000001,12.342394291757302,2.7935909172282742,5.694443195237852,5.393556173016774
2,0.08765846625276665,0.05259507975165999,0.0,0.08765846625276665,0.03506338650110666,11.308830041908632,2.7935909172282742,5.320526376050365,5.253672405305765
3,0.09872201693161485,0.05923321015896891,0.0,0.09872201693161485,0.03948880677264594,12.226680709724217,2.7935909172282742,5.653301845154581,5.37872622131284
4,0.12570628952816254,0.07542377371689753,0.0,0.12570628952816254,0.05028251581126502,15.24441761892806,2.7935909172282742,6.670958089851097,5.710242369724307
5,0.12936252765202955,0.07761751659121773,0.0,0.12936252765202955,0.05174501106081182,15.771865592610782,2.7935909172282742,6.83773461700432,5.758331360049872
6,0.12348148260959164,0.07408888956575499,0.0,0.12348148260959164,0.04939259304383666,14.940387728626959,2.7935909172282742,6.573398381763182,5.681371488015809
7,0.13356140043382347,0.08013684026029408,0.0,0.13356140043382347,0.053424560173529395,16.424483138680433,2.7935909172282742,7.039854309638925,5.814566359033113
8,0.12682662223266933,0.0760959733396016,0.0,0.12682662223266933,0.050730648893067734,15.402248957941787,2.7935909172282742,6.721190198754638,5.724892073772035
9,0.12534599031379082,0.07520759418827448,0.0,0.12534599031379082,0.05013839612551633,15.194344186409273,2.7935909172282742,6.654962614627026,5.705546942307417
10,0.1313982080261685,0.0788389248157011,0.0,0.1313982080261685,0.052559283210467406,16.08166088012903,2.7935909172282742,6.934255586588109,5.785458500515531
11,0.1115987430369868,0.06695924582219208,0.0,0.1115987430369868,0.044639497214794724,13.502144167119772,2.7935909172282742,6.097150102620942,5.531985189484471
12,0.10643617555393398,0.06386170533236038,0.0,0.10643617555393398,0.042574470221573596,12.960107894775978,2.7935909172282742,5.911087115776073,5.46950323228831
13,0.11321687912875655,0.06793012747725392,0.0,0.11321687912875655,0.04528675165150262,13.681494662788182,2.7935909172282742,6.1579040992349405,5.551864205326929
14,0.10933054809115497,0.06559832885469298,0.0,0.10933054809115497,0.04373221923646199,13.258515014690918,2.7935909172282742,6.013979620824154,5.504358547858232
15,0.12180130845846757,0.07308078507508053,0.0,0.12180130845846757,0.04872052338338703,14.718702405041608,2.7935909172282742,6.5015918493566,5.659760950649832
16,0.11437905058700014,0.06862743035220008,0.0,0.11437905058700014,0.04575162023480006,13.813275320028165,2.7935909172282742,6.202291045592994,5.566230017397095
17,0.10811394765263588,0.06486836859158153,0.0,0.10811394765263588,0.043245579061054355,13.131426584936326,2.7935909172282742,5.9702972825671585,5.489653730758862
18,0.13399799858553185,0.0803987991513191,0.0,0.13399799858553185,0.05359919943421274,16.495455485641422,2.7935909172282742,7.061558627117549,5.820476771309478
19,0.12595992729133715,0.07557595637480229,0.0,0.12595992729133715,0.05038397091653486,15.279865929843364,2.7935909172282742,6.682264527459942,5.7135524205642305
20,0.1294182253868679,0.07765093523212073,0.0,0.1294182253868679,0.05176729015474716,15.780182921677085,2.7935909172282742,6.840339735285672,5.759070193499039
21,0.11624926856870058,0.06974956114122034,0.0,0.11624926856870058,0.04649970742748023,14.030756273007277,2.7935909172282742,6.275079687350853,5.589504857527544
22,0.11982423159077285,0.07189453895446371,0.0,0.11982423159077285,0.04792969263630914,14.466123830471334,2.7935909172282742,6.419080051738915,5.634541234397463
23,0.12592156792915946,0.07555294075749568,0.0,0.12592156792915946,0.050368627171663787,15.27449426372203,2.7935909172282742,6.680552118870169,5.713051572811507
24,0.11547052164036127,0.06928231298421676,0.0,0.11547052164036127,0.04618820865614451,13.93937191122155,2.7935909172282742,6.244564380639165,5.57978975225805
25,0.1277613905300762,0.07665683431804572,0.0,0.1277613905300762,0.051104556212030486,15.53646099350097,2.7935909172282742,6.763684776611218,5.73717294596721
26,0.12163243312276643,0.07297945987365986,0.0,0.12163243312276643,0.04865297324910658,14.696783981690603,2.7935909172282742,6.494461200438706,5.657597951310234
27,0.12356797162096912,0.07414078297258148,0.0,0.12356797162096912,0.04942718864838765,14.951980112720715,2.7935909172282742,6.57713766031305,5.6824883838426725
28,0.1210480408196612,0.07262882449179671,0.0,0.1210480408196612,0.04841921632786448,14.621436612304624,2.7935909172282742,6.469905881642207,5.650125645009582
29,0.14449734935216596,0.08669840961129957,0.0,0.14449734935216596,0.05779893974086639,18.408359087911567,2.7935909172282742,7.627041032947955,5.966320436939166
30,0.13494000420837488,0.08096400252502492,0.0,0.13494000420837488,0.053976001683349956,16.650694692529438,2.7935909172282742,7.108846875100577,5.833270116973135
31,0.12426554290259582,0.07455932574155749,0.0,0.12426554290259582,0.04970621716103833,15.046139503093151,2.7935909172282742,6.607452801423655,5.691512711406001
32,0.13876989731394884,0.0832619383883693,0.0,0.13876989731394884,0.05550795892557954,17.313133772707225,2.7935909172282742,7.307810219645629,5.88586812033791
33,0.12181816955962065,0.07309090173577239,0.0,0.12181816955962065,0.04872726782384826,14.720894406840257,2.7935909172282742,6.502304657988304,5.659977002843468
34,0.13097208208989375,0.07858324925393624,0.0,0.13097208208989375,0.0523888328359575,16.015808876093743,2.7935909172282742,6.913826155684632,5.7797588862621225
35,0.11116431215479178,0.06669858729287506,0.0,0.11116431215479178,0.04446572486191672,13.454790716831498,2.7935909172282742,6.081042695727038,5.526672365723521
36,0.10993576035913115,0.06596145621547869,0.0,0.10993576035913115,0.043974304143652464,13.322657342353004,2.7935909172282742,6.035948870634994,5.51170301408858
37,0.12211141970086359,0.07326685182051815,0.0,0.12211141970086359,0.04884456788034544,14.759122639399006,2.7935909172282742,6.5147269507998375,5.663737246481479
38,0.1309334713156672,0.07856008278940033,0.0,0.1309334713156672,0.052373388526266884,16.009868739805015,2.7935909172282742,6.911981014927396,5.779243005682655
39,0.13066078715328916,0.0783964722919735,0.0,0.13066078715328916,0.052264314861315664,15.968042327763108,2.7935909172282742,6.898977905859259,5.775602278460264
40,0.12987231830879528,0.07792339098527716,0.0,0.12987231830879528,0.051948927323518114,15.848321219648634,2.7935909172282742,6.861653057952967,5.765100841830864
41,0.1282233584763542,0.0769340150858125,0.0,0.1282233584763542,0.051289343390541677,15.603656708490645,2.7935909172282742,6.784884865623777,5.7432616993248775
42,0.11564598479408515,0.06938759087645109,0.0,0.11564598479408515,0.04625839391763406,13.959858110404094,2.7935909172282742,6.251413998443595,5.581975760038956
43,0.11788751756166656,0.07073251053699993,0.0,0.11788751756166656,0.04715500702466663,14.226967832796907,2.7935909172282742,6.340258450745694,5.610053362563785
44,0.11925827182460906,0.07155496309476543,0.0,0.11925827182460906,0.04770330872984363,14.395408596354896,2.7935909172282742,6.395844326367784,5.6273631418571055
45,0.1345378768287209,0.08072272609723254,0.0,0.1345378768287209,0.05381515073148836,16.584069517717523,2.7935909172282742,7.088583012448316,5.827801965854058
46,0.1338774582430571,0.08032647494583427,0.0,0.1338774582430571,0.05355098329722285,16.475799515570785,2.7935909172282742,7.055552921453847,5.818843765726963
47,0.11507917143296585,0.06904750285977951,0.0,0.11507917143296585,0.04603166857318634,13.893895722589042,2.7935909172282742,6.229341044948344,5.574920278206713
48,0.12930332570306158,0.07758199542183694,0.0,0.12930332570306158,0.05172133028122464,15.763034587208029,2.7935909172282742,6.8349677727298,5.757546250819278
49,0.12485133223389165,0.07491079934033498,0.0,0.12485133223389165,0.04994053289355666,15.126131338054478,2.7935909172282742,6.633126818635113,5.699113111170958
50,0.12122491197469674,0.07273494718481804,0.0,0.12122491197469674,0.0484899647898787,14.644159459992814,2.7935909172282742,6.477318134102669,5.652385116433118
51,0.13285835368070598,0.07971501220842359,0.0,0.13285835368070598,0.05314334147228239,16.311472239551005,2.7935909172282742,7.005183229037632,5.805074106194422
52,0.14083980787616246,0.08450388472569748,0.0,0.14083980787616246,0.056335923150464984,17.69358084868156,2.7935909172282742,7.420049702082254,5.9146921198654105
53,0.14466445529692054,0.08679867317815232,0.0,0.14466445529692054,0.05786578211876822,18.44239799582666,2.7935909172282742,7.636774284273018,5.968700772984091
54,0.13051091078229302,0.0783065464693758,0.0,0.13051091078229302,0.05220436431291721,15.945146065220518,2.7935909172282742,6.891851774046571,5.773603165339329
55,0.13127230110598676,0.07876338066359205,0.0,0.13127230110598676,0.052508920442394705,16.06214737184247,2.7935909172282742,6.928206771804125,5.78377327263774
56,0.13596182562060014,0.08157709537236008,0.0,0.13596182562060014,0.05438473024824006,16.822425104012275,2.7935909172282742,7.160863184433061,5.847211178921274
